strasse;strassen_bez;herkunft;beschluss;gueltig_ab
1033;"Am Johanneskreuz";"Früher stand hier ein Marktkreuz, das sich jetzt auf dem Alten Friedhof befindet.";;
3191;Liestraße;"Flurname. Lie bezeichnet ein Lehen, hier lagen Gründstücke, die als Lehen ausgegeben waren.";1977-03-24;1978-01-01
4628;"Auf dem Maar";"Flurname. Maar bezeichnet eine feuchte Stelle.";1974-06-11;1978-01-01
4065;"Auf dem Weiler";"Flurname Auf dem Weiler. Von lateinisch villaris: zu einem Landhaus gehörig.";1949-09-16;
3769;"Kohlkauler Platz";"Nach dem Ortsteil Kohlkaul.";1971-09-14;1972-01-04
1395;Joachimstraße;"Josef Joachim (1831-1907), Violinvirtuose, Ehrenbürger der Stadt Bonn 1906.";;
4352;Pfarrer-Pohl-Straße;"Johannes Pohl (1903-1965), Pfarrer der Kirchengemeinde St. Rochus 1953-1965.";2009-09-17;2010-01-01
1567;Nassestraße;"Christian Friedrich Nasse (1778-1851), Mediziner, Professor an der Universität Bonn.";1869-02-12;
1301;"In den Dauen";"Flurname. Vermutlich nach den Dünen im Tannenbusch.";1990-05-29;
3547;Stroofstraße;"Leonard Karl Friedrich Heinrich Theresia Stroof (1757-1825), erster Bürgermeister von Vilich 1809-1825.";1959-02-24;
3817;Julius-Vorster-Straße;"Julius Vorster jun. (1845-1932), Unternehmer in der Chemieindustrie, Ehrenbürger von Oberkassel 1930 wegen seiner sozialen Verdienste.";1977-03-24;1978-01-01
3501;Sandorfstraße;"Flurname. Sandorf könnte eine veränderte Form von Sanderhof sein; im 14. Jahrhundert gab es einen Sander von Geislar als Lehnsmann der Abtei Siegburg.";1963-11-06;
1618;"Poppelsdorfer Allee";"Poppelsdorf, seit 1904 Ortsteil von Bonn.";;
1657;Remigiusplatz;"Remigius von Reims (um 436-533), Heiliger, Patron der 1806 abgebrochenen Pfarrkirche beim heutigen Remigiusplatz. Der Platz markiert den früheren Kirchhof.";1974-10-22;1978-01-01
1007;Espenweg;;1972-12-19;
3816;Ernststraße;"Ernst zur Lippe-Biesterfeld (1842-1904), geboren in Oberkassel, von 1895 bis 1904 Regent des Fürstentums Lippe-Detmold.";1904-09-12;
4439;Johanna-Kirchner-Straße;"Johanna Kirchner (1889-1944), Widerstandskämpferin gegen das nationalsozialistische Regime.";1965-05-21;
1047;"Am Poppelsdorfer Weiher";"Nach einem dort befindlichen Weiher.";1974-10-22;1978-01-01
1130;Schmittenpfädchen;"Flurname. Schmittenpfädchen bezeichnet ein Pfädchen zur Schmiede.";1978-02-28;
4760;Wittenbergstraße;"Wittenberg, Stadt in Sachsen-Anhalt, an der dortigen Schlosskirche erfolgte 1517 der Thesenanschlag Martin Luthers.";1979-02-15;
4473;Rosenhain;;1975-03-11;1978-01-01
4237;"Camminer Straße";"Cammin, Stadt in Pommern, heute Kamien Pomorski in Polen.";1981-07-14;
1001;Ernst-Abbe-Straße;"Ernst Abbe (1840-1905), Physiker, Optiker, Unternehmer und Sozialreformer, Mitinhaber der optischen Werke Carl Zeiss.";2004-07-01;2004-07-21
1465;"Kattowitzer Weg";"Kattowitz, Stadt in Oberschlesien, heute Kattowice in Polen.";1971-06-24;1971-08-09
2034;"Annaberger Straße";"1875 nannte der Besitzer des Gutes Annaberg im Kottenforst dieses Gut angeblich nach seiner Frau; der alte Name war Pützberg.";;
4731;"In der Roten Kanne";Flurname.;1962-07-17;
3349;"Mendener Weg";"Menden, Stadtteil von St. Augustin.";;
4476;Schieffelingsweg;"Nach einer schiefen Linde.";;
3744;Christ-König-Straße;"An dieser Straße liegt die Christ-König-Kirche.";1977-03-24;1978-01-01
1045;Amselweg;;;
1476;"Landsberger Straße";"Landsberg, Stadt an der Warthe in der ehemaligen preußischen Provinz Brandenburg, heute Gorzów Wielkopolski in Polen.";1959-03-13;
3814;Büchelstraße;Flurname.;1896-11-30;
2394;Steinstraße;;;
2513;Rheingoldstraße;"Rheingold, Schatz aus dem Nibelungensage.";2006-06-09;
1278;"Görlitzer Straße";"Görlitz, Stadt im Bundesland Sachsen.";1959-03-13;
2401;Stirzenhofstraße;"Stirzenhof in Plittersdorf.";1906-12-14;
1760;Ubierweg;"Ubier, germanischer Volksstamm.";1929-10-08;1929-10-12
1382;"In der Lies";"Alte Gewannbezeichnung.";1992-07-14;
3106;"Fränkische Straße";"Franken, germanischer Volksstamm.";2014-05-08;2014-05-28
4218;Peter-Klein-Straße;"Peter Klein (1875-1967), Landwirt und Ortsbürgermeister von Buschdorf 1946-1951.";1983-02-22;
4062;"An den Kreuzen";"Nahe der Straße befinden sich zwei Wegekreuze aus dem 18. Jahrhundert.";1965-07-08;
1003;Achim-von-Arnim-Straße;"Achim von Arnim (1781-1831), Schriftsteller der Romantik.";1955-12-01;
4756;Gothastraße;"Gotha, Stadt in Thüringen.";1979-02-15;
2307;Laufenbergstraße;"Bernhard Laufenberg (1877-1946), Mitbegründer der Godesberger SPD und ihr Vorsitzender 1919-1924.";1977-03-24;1978-01-01
2420;Utestraße;"Ute, Gestalt aus der Nibelungensage.";1953-07-21;
2246;Kunigundenstraße;"Kunigunde (wahrscheinlich Tochter eines Mehlemer Amtsmannes). Wegen ihr soll es einst zur tragischen Hinrichtung des Mehlemer Bürgers Heinrich gekommen sein.";1935-05-09;
2451;Winkelsweg;Flurname.;;
2040;"Auf dem Brand";Flurname.;1950-10-18;
3832;"In der Persch";"Flurname. Die Bedeutung ist unklar: von Pferch (umzäunte Viehkoppel) oder Persche (Pfirsichbaum).";;
3025;Antoniusweg;"Der hl. Antonius, Eremit, Pfarrpatron in Holtorf.";1956-08-10;
4716;Hubert-Maurer-Straße;"Hubert Maurer (1738-1818), Maler, geboren in Röttgen, wirkte bei der Ausgestaltung des Schlosses Herzogsfreude mit.";1972-12-19;
1195;Adalbert-Stifter-Straße;"Adalbert Stifter (1805-1868), Schriftsteller des Biedermeier und Naturwissenschaftler";1974-10-22;1978-01-01
3027;Auestraße;"Diese Straße führt in die Niederung (Au) des Villicher Bachs.";1968-08-28;
2333;Remi-Baert-Platz;"Remi Baert (1903-1965), Diplomat, belgischer Botschafter in der Bundesrepublik Deutschland.";1965-03-26;
2031;Andreasstraße;"Der Apostel Andreas, Pfarrpatron von Rüngsdorf.";1899-09-15;
4400;Europaring;;1969-06-16;
4092;Wilhelm-Kerp-Straße;"Wilhelm Kerp (1933-1990), Kommunalpolitiker.";1991-02-13;
4389;"Am Wesselpütz";"Flurname. Pütz bezeichnet eine Quelle.";1976-02-03;1976-03-12
1713;Simrockstraße;"Nikolaus Simrock (1751-1823), Musiker, bzw. Karl Joseph Simrock (1802-1876), Dichter, Professor an der Universität Bonn (Germanist).";1896-07-08;
2226;Klufterbachtal;"Nach dem gleichnamigen Bach.";1933-04-20;
2508;Ria-Maternus-Platz;"Maria ""Ria"" Maternus (1914-2001), Bad Godesberger Prominentengastronomin.";2003-07-22;2003-11-01
3080;Blankenbergweg;"Durch Bechlinghoven verlief die Grenze zwischen den bergischen Herrschaften Blankenberg und Löwenberg entlang des Mühlenbachs, dem in etwa der heutige Straßenverlauf folgt.";1983-01-25;
4452;Letterhausstraße;"Bernhard Letterhaus (1894-1944), christlicher Gewerkschaftler, als Widerstandskämpfer des 20. Juli 1944 hingerichtet.";1965-05-21;
1294;Gottbergstraße;"Hans-Egon von Gottberg (1893-1914), Pionier des Pfadfindergedankens im Rheinland und in Westfalen, Gründer des Pfadfinder-Korps Bonn.";1966-01-27;
3010;"Am Finkenberg";"Finkenberg, Berg in Limperich, bereits 1166 als Vinkenberge erwähnt, 1726 Am Finkenberg, 1742 mehrfach erwähnt.";;
4394;Igelweg;;1999-04-22;
3120;Kreuzritterstraße;"Die Ritter des Deutschen Ordens hießen auch Deutschherren, sie besaßen die Kommenden Ramersdorf und Muffendorf. Der Orden entstand während der Kreuzzüge.";1977-03-24;1978-01-01
1375;"Im Wingert";"Flurname. Wingert bedeutet Weingarten.";1953-03-26;
1009;Alemannenweg;"Alemannen, germanischer Volksstamm.";1922-02-24;
4268;Elisabeth-Daub-Straße;"Elisabeth Daub (1931-2000), evangelischer Pastorin, Leiterin des Behindertenreferates des Kirchenkreises Bonn.";2006-01-24;
1577;Nußallee;"Möglicherweise säumten Nussbäume die Allee.";;
1490;"Am Neuen Lindenhof";;1969-10-23;
3753;Kohlbergstraße;Flurname.;1977-03-24;1978-01-01
1780;Vili-Viorel-Paun-Platz;"Vili Viorel Paun: 10.09.1997 - 19.02.2020
Vili Viorel Paun wurde Opfer des rechtsextremen Anschlages in Hanau am 19.02.2020, bei dem weitere Hanauer Bürger mit Migrationshintergrund ermordet wurden.
Er war ein Rom aus Rumänien und arbeitete bei einem Kurier-dienst. Er versuchte, den Attentäter aufzuhalten und mehr-mals erfolglos den Notruf zu erreichen. Er verfolgte ihn weiter und wurde schließlich in seinem Auto erschossen.
";2022-05-03;2022-07-27
2500;"Im Bendel";"Es handelt sich hierbei um die mundartliche Bezeichnung der alten Flurbezeichnung Im Benden.";1999-08-26;2000-01-01
4258;Heinrich-Nauen-Straße;"Heinrich Nauen (1880-1940), Maler, Expressionist, gehörte zum Kreis um August Macke.";1985-01-29;1985-02-08
1048;"Am Wichelshof";"Der Wichelshof wird 948 erstmals genannt und war im Besitz des ehemaligen Stiftes Maria im Kapitel zu Köln.";1960-01-28;1960-01-28
1154;Christoph-Fischer-Weg;"Christoph Fischer (1889-1974), Begründer und über 30 Jahre lang Vorsitzender des Dottendorfer Ortsausschusses.";1989-06-06;
4722;"Im Ellig";Flurname.;1951-07-25;
3145;Ernst-Moritz-Arndt-Straße;"Ernst Moritz Arndt (1769-1860), Publizist, Schriftsteller und Historiker, Professor an der Universität Bonn.";;
2135;Germanenstraße;"Germanen, Sammelbezeichnung für eine Volksgruppe.";1934-11-29;
3359;Johannes-Norbisrath-Straße;"Johannes Norbisrath, Schulrat in Euskirchen, 1933 aus politischen Gründen strafversetzt, Schuldirektor in Küdinghoven 1933-1937.";1989-04-25;
2406;Talstraße;;1900-10-21;
1540;Mertensgasse;"Der Name entstand im 19. Jahrhundert wahrscheinlich nach einer Familie Mertens (von Martin).";;
4328;Buchfinkenweg;;1972-12-19;
1462;Keltenweg;"Nach dem Volksstamm der Kelten.";1968-02-01;
3137;Emmy-Noether-Weg;"Emmy Noether (1882-1935), Mathematikerin.";2006-01-31;
2120;Floßweg;;1888-08-20;
2471;"Am Weckhasen";"Flurname. Die Flur soll Ähnlichkeit mit einem Hasengebildbrot bzw. einem Weckhasen haben. Der so genannte Weckhase zu Ostern ist in Bonn vom Weckmann zum Nikolaustag abgelöst worden.";1977-03-24;1978-01-01
4472;"Alter Römerweg";"Der Name verweist auf eine alte römische Straße.";1980-04-22;
1777;"Potsdamer Platz";"Potsdam, Landeshauptstadt von Brandenburg, Partnerstadt von Bonn.";1990-11-13;
3361;"Müldorfer Anger";"Der Name bezieht sich auf den Bonner Ortsteil (Vilich-)Müldorf, der Begriff Anger bezeichnet einen zentral gelegenen grasbewachsenen Dorfplatz in Gemeinbesitz.";2006-01-31;
3284;Keltersbachweg;"Flurname. Bach, der als Ankerbach bei Oberholtorf entspringt und ab Ramersdorf Keltersbach heißt.";1965-09-29;
2071;"Im Äuelchen";"Flurname, Au oder Aue bezeichnet ein wasserumflossenes Landstück oder einen feuchten Grund, Äuelchen ist demnach eine kleine Aue.";1977-03-24;1978-01-01
2281;Max-Löbner-Straße;"Max Hermann Löbner (1869-1947), Gründer der gärtnerischen Winterschule in Friesdorf.";1956-01-05;
1031;"Am Hofgarten";"Ehemaliges Gartenparterre des kurfürstlichen Residenzschlosses.";1933-08-12;
2377;Severinsweg;"Der hl. Severin, Pfarrpatron von Mehlem.";1927-05-25;
3182;"Gensemer Straße";"Flurname. Bezeichnung eines früheren im Norden von Schwarzrheindorf gelegenen Ortsteils. Lange als Ableitung eines Siedlungsnamens Gensheim angesehen, eine andere Erklärung:  Gänsewasem (Gänseweide). Diskutiert wurde auch die Herkunft von einer lateinischen Ortsbezeichnung ""Gesonia"", die der römische Schriftsteller Florus als rechtsrheinisches Gegenüber von ""Bonna"" nennt.";;
4401;Heilsbachstraße;"Heilsbach, entspringt im Derletal.";1969-06-16;
4758;Dessaustraße;"Dessau, Stadt in Sachsen-Anhalt.";1979-02-15;
3380;"Am Kamin";"In der Nähe befand sich die Alaunhütte III des Bonner Bergwerks- und Hüttenvereins.";1977-03-24;1978-01-01
3404;Pfarrer-Marten-Straße;"Heinrich Marten (1880-1959), Pfarrer in Pützchen 1918-1954.";1976-05-04;1976-06-25
2427;Hubert-Peter-Straße;"Hubert Peter (1902-1992), sozialdemokratischer Politiker, stellvertretender Bürgermeister von Godesberg, Kreisvorsitzender der Arbeiterwohlfahrt.";1999-04-22;
1751;Heerweg;;1996-12-17;
2319;Petersbergstraße;"Petersberg, Berg im Siebengebirge.";1900-01-04;
2357;Saarstraße;"Saar, rechter Nebenfluss der Mosel.";1954-07-22;
2442;Von-Müllenark-Straße;"Heinrich von Müllenark (um 1190-1238), Propst am Bonner Cassiusstift, Erbischof von Köln 1225-1238.";1984-05-15;
1355;Hölderlinstraße;"Johann Christian Friedrich Hölderlin (1770-1843), Dichter.";;
3711;"Am Friedhof";"Nach dem an dieser Stelle gelegenen Friedhof.";1961-05-25;
2423;Vikariegasse;"Vikarie, Wohnung eines Vikars, in der Regel der zweite Geistliche an einem Ort, häufig auch Inhaber einer ensprechenden Pfründe (Stiftung).";1888-08-13;
3212;Hundeshagenstraße;"Helfrich Bernhard Hundeshagen (1784-1858), Dozent der Bonner Universität, Zeichner, Entdecker des ""Hundeshagen Codex"" (illustrierte Nibelungenlied-Handschrift des 15. Jahrhunderts).";1967-07-18;
4700;Ulrich-von-Hassell-Straße;"Christian August Ulrich von Hassell (1881-1944), Diplomat, als Widerstandskämpfer des 20. Juli hingerichtet.";1987-10-20;
1273;"Glatzer Straße";"Nach der schlesischen Grafschaft Glatz, heute Ziemia Kloldzka in Polen.";1961-06-07;
3173;Florusstraße;"Lucius Annaeus Florus, römischer Schriftsteller, der ca. 120 n. Chr. in seiner Epitoma den Namen Bonns (Bonna) erstmals erwähnt.";1987-09-29;
2445;Weißenburgstraße;"Weißenburg, französisch Wissembourg, Stadt im Elsass, Schlachtort des Deutsch-Französischen Krieges 1870/1871.";1902-05-02;
1503;"Londoner Straße";"London, Hauptstadt von Großbritannien.";;
4825;Johann-Bieser-Straße;"Johann Bieser (1905-1988), Gemeindevorsteher von Lessenich 1929-1933 und 1945-1952, Ehrenbürger der Gemeinde Lessenich 1957.";2007-03-22;
2293;Moltkestraße;"Helmuth Graf von Moltke (1800-1891), preußischer Generalfeldmarschall.";;
1314;Hatschiergasse;"Dort befand sich die Kaserne der Hatschiere (kurfürstliche Leibgarde, Bogenschützen), französisch: Garde des Archers.";;
1293;Georg-von-Boeselager-Straße;"Georg von Boeselager (1915-1944), Offizier, Widerstandskämpfer des 20. Juli, gefallen 1944, Schüler des Aloisiuskollegs in Bad Godesberg.";1966-01-27;
2218;Keplerstraße;"Johannes Kepler (1571-1630), deutscher Astronom.";1962-02-06;
4234;Azaleenweg;;1975-01-14;1975-02-21
3428;Pützweg;"Am westlichen Ende des Weges lag das Brünnchen (Pütz).";;
3231;"Im Thelenpfand";;;
2417;Ubierstraße;"Ubier, germanischer Volksstamm.";1930-07-29;1930-10-01
3290;Königsheimstraße;"Irrtümliche Veränderung des alten Flurnamens Hönigsheim.";;
2084;"Am Baumgarten";Flurname.;1980-01-22;
3464;Rhenusallee;"Rhenus, lateinische Bezeichnung für den Rhein.";1977-03-24;1978-01-01
2253;Lehnpütz;"Pütz bezeichnet einen Brunnen.";;
3126;Doktor-Weis-Platz;"Max Weis (1881-1952), Arzt und Kommunalpolitiker, Vorstandsmitglied der Beueler Synagogengemeinde, emigrierte 1939 nach Großbritannien.";2002-09-19;
4395;Eichhörnchenweg;;1967-04-27;
2491;"An der Marienkapelle";"Nach der Marienkapelle, die vermutlich um 1800 an der Rolandstraße errichtet worden ist.";1991-05-22;
3759;Rodeweg;"Vernutlich Flurname. Zurückgehend auf gerodetes Land.";1961-09-14;
3354;"Müldorfer Straße";"(Vilich-)Müldorf, Ortsteil von Bonn.";;
3280;Kaiser-Konrad-Straße;"Konrad III., deutscher König 1138-1152 (nicht Kaiser), war Teilnehmer der Weihe der Doppelkirche in Schwarzrheindorf 1151.";1955-04-18;
1313;Hartsteinstraße;"Eduard Hartstein (1823-1869), Professor und Direktor der landwirtschaftlichen Akademie Poppelsdorf.";1926-12-03;
1599;"Platz der Deutschen Post";"Platz vor dem Hauptgebäude (Post Tower) der Deutschen Post AG.";2002-09-19;
3417;Pastor-Königs-Weg;"Karl Königs (1928-2005), Pfarrer an St. Maria und St. Clemens in Schwarzrheindorf 1966-2002.";2008-10-16;
3054;Anne-Marie-Prévot-Straße;"Anne Marie Prévot (1924-1987), Lehrerin aus der Beueler Partnerstadt Mirecourt, setzte sich für die Städtepartnerschaftlichen Beziehungen zwischen Beuel und Mirecourt ein.";1999-06-08;
1613;Peterstraße;"Der Apostel Petrus.";;
2072;Brunhildstraße;"Brunhild, Gestalt aus der Nibelungensage.";1952-02-22;
4010;Blumenstraße;;1949-09-16;
2273;"Marienforster Steinweg";"Ehemaliges Birgittenkloster (aufgehoben 1802) und späteres Gut Marienforst in Bad Godesberg.";;
4436;Helmholtzstraße;"Hermann von Helmholtz (1821-1894), Physiker, Professor an der Universität Bonn.";1963-11-21;
3846;"Oberkasseler Ufer";"Oberkassel, Ortsteil von Bonn.";1977-03-24;1978-01-01
1200;"Endenicher Allee";"Endenich, Ortsteil von Bonn.";;
3853;Theresienau;;1962-05-11;
2343;Albertus-Magnus-Straße;"Albertus Magnus (um 1200-1280), Heiliger, Dominikaner, Theologe und Naturwissenschaftler, gestorben und bestattet in Köln.";1977-03-24;1978-01-01
4736;Otto-Müller-Straße;"Otto Müller (1870-1944), Student in Bonn, Geistlicher, führend in der katholischen Arbeiterbewegung tätig, als Widerstandskämpfern des 20. Juli 1944 in der Haft verstorben.";1975-03-11;1978-01-01
4757;Altenburgstraße;"Altenburg, Stadt in Thüringen.";1979-02-15;
1650;Riegelerstraße;"Philipp Joseph Riegeler (1778-1863), Beigeordneter der Stadt Bonn, Begründer der Städtischen Sparkasse.";1928-02-09;
4710;Brückenstraße;Flurname.;1900-12-10;
2078;Burgstraße;"Die Straße führt unterhalb der Godesburg vorbei.";1889-04-23;
2519;Friedrich-Bleek-Straße;"Friedrich Bleck (1912-2001), Pfarrer in Mehlem und Wachtberg 1946-1977, Mitglied der Bekennenden Kirche.";2008-08-20;2008-09-10
3265;Julius-Palm-Straße;"Julius Palm (1888-1952), erster Pfarrrektor an St. Joseph 1925-1931, danach Pfarrer in Stieldorf 1931-1952.";1999-03-18;1999-04-08
3727;"Ettenhausener Straße";"Gut Ettenhausen, Hof zwischen Ungarten und Roleber.";;
3622;Wehrhausweg;"Were steht für Allmende, das ist das einer Dorfgemeinschaft insgesamt gehörende Wald-, Weide- und Ackerland. Bereits 1726 gibt es die Bezeichnung An der Werresgasse.";;
4809;Hans-Welzel-Straße;"Hans Welzel (1904-1977), Jurist, Professor an der Universität Bonn.";1992-09-15;
1268;Friedrich-Wöhler-Straße;"Friedrich Wöhler (1800-1882), Chemiker, Entdecker des Elementes Aluminium.";1977-03-24;1978-01-01
1642;Renoisstraße;"Otto Renois (1882-1933), kommunistischer Stadtverordneter von Bonn, von Nationalsozialisten 1933 ermordet.";1949-08-05;
4244;Siebenbürgenstraße;"Siebenbürgen, Landschaft in Rumänien mit großem Anteil deutschstämmiger Bevölkerung.";1981-11-24;
3740;"Holzlarer Straße";"Holzlar, Ortsteil von Bonn.";;
2203;"Ittenbacher Straße";"Ittenbach, Ort im Siebengebirge, heute zur Stadt Königswinter gehörig.";1956-07-16;
3079;Burghofstraße;"Der Burghof in Oberholtorf hat seinen Namen nicht von einer Burg, sondern von einem Koblenzer Ritter Reinhard von Burgthorn, der den Hof 1515 von der Abtei Heisterbach als Lehen erhielt.";1956-08-10;
4200;"An der Buschdorfer Burg";"Nach der dort gelegenen, bereits im 10. Jahrhundert nachweisbaren Burg, die zum Schutz des Handelsweges von Bonn nach Aachen errichtet worden sein soll.";1990-01-30;1990-02-09
1039;"Am Propsthof";"Früher dort gelegener Hof des Bonner Stiftspropstes.";1956-01-19;
2115;Eschenweg;;1964-06-09;
3101;Combahnstraße;"Combahn, Siedlung, seit 1892 mit Beuel vereinigt. Combahn ist eine Zusammensetzung von Kumme oder Komme (Bodensenke) und Bahn (aufgeschütteter Weg).";;
1440;Klara-M.-Faßbinder-Straße;"Klara-Marie Faßbinder (1890-1974), Historikern, Friedensaktivistin, Professorin an der Pädagogischen Hochschule Bonn.";1998-01-27;1998-03-23
1060;"Am Metternicher Hof";"Ehemaliger Metternicher Hof, der sich in der Nachbarschaft des Boeselagerhofes befand und beim Bau der Rheinbrücke 1898 abgerissen wurde.";1984-12-12;1984-12-28
4642;"Am Waldhang";Flurname.;1974-06-11;1978-01-01
4715;Glockenstraße;;1962-12-21;
4841;"Im Dransdorfer Feld";Flurname.;1996-12-17;
3174;"Im Kremerich";Flurname.;1995-07-11;
4053;Philippsonstraße;"Alfred Philippson (1864-1953), Geograph, Professor an der Universität Bonn. Kehrte 1945 mit seiner Familie aus dem Konzentrationslager Theresienstadt nach Bonn zurück.";1979-01-18;
2232;Königsplatz;"Nach Kaiser Wilhelm II. (1888-1918), König von Preußen 1888-1918 und letzter deutscher Kaiser.";1933-12-18;
1525;Marktbrücke;"Nach einem früher hier vorhandenen, über den Wallgraben zwischen der Immunität des Cassiusstiftes und dem Markt führenden Brückensteg.";1898-04-01;
4308;Buntspechtweg;;1972-12-19;
4045;"Villiper Allee";"Villip, Ortsteil der Gemeinde Wachtberg.";1951-02-01;
2288;"Am Michaelshof";"Michael, Erzengel, Schutzpatron von Bad Godesberg.";1977-03-24;1978-01-01
2399;Steubenring;"Friedrich Wilhelm von Steuben (1730-1794), deutsch-amerikanischer General.";1951-10-19;
4060;Clementiaweg;"Clementia, Heilige.";1984-05-15;
4242;Pommernstraße;;1981-11-24;
2495;"Am Ziegenbaum";Flurname.;1996-06-25;
2165;Heiderhofring;"Hof im Besitz der Kommende Muffendorf.";1964-06-09;
2003;Aggerstraße;"Agger, rechter Nebenfluss der Sieg";1950-05-25;
2464;Mallwitzstraße;"Arthur Mallwitz (1880-1968), Mediziner, Vorsitzender des Zweckverbandes für Leibesübungen.";1970-07-08;
2026;"Am Stadtwald";"Nach dem in der Nähe liegenden Stadtwald";1952-02-22;
1334;Herwarthstraße;"Eberhard Herwarth von Bittenfeld (1796-1884), preußischer Generalfeldmarschall.";;
3697;Rückelswiese;Flurname.;1982-01-26;
3470;Ringstraße;;;
4021;"Im Jagdfeld";Flurname.;1972-12-19;
2398;Ostseestraße;;1977-03-24;1978-01-01
